STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1970,6.16,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1971,6.31,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1972,6.14,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1973,6.49,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1974,6.82,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1975,7.03,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1976,7.32,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1977,7.45,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1978,7.59,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1979,7.76,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1980,8.04,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1981,8.23,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1982,8.32,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1983,8.71,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1984,8.61,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1985,8.81,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1986,9.12,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1987,8.97,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1988,8.47,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1989,7.70,b
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1990,7.74,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1991,7.16,b
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1992,5.30,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1993,5.78,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1994,5.95,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1995,6.03,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1996,6.06,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1997,6.13,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1998,6.34,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,1999,6.25,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2000,6.19,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2001,6.06,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2002,5.98,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2003,6.08,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2004,6.22,
