STRUCTURE,STRUCTURE_ID,freq,icha_hc,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,LV,2014,9.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,MT,2014,13.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,NL,2014,6.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,NO,2014,12.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,PL,2014,6.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,PT,2014,43.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,RO,2014,1.0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,SE,2014,20.9,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,SI,2014,18.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,SK,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,TR,2014,0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,UK,2014,16.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,AT,2014,8.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,BE,2014,5.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,BG,2014,4.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,CY,2014,1.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,CZ,2014,7.1,
