STRUCTURE,STRUCTURE_ID,freq,unit,lev_perc,sex,age,lev_limit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,RO,2019,58.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,RS,2019,59.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,SE,2014,46.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,SE,2019,48.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,SI,2014,48.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,SI,2019,50.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,SK,2014,60.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,SK,2019,55.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,TR,2014,59.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,TR,2019,62.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,UK,2014,37.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,AT,2014,37.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,AT,2019,43.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,BE,2014,39.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,BE,2019,39.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,BG,2014,53.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,BG,2019,53.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,CY,2014,41.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,CY,2019,31.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,CZ,2014,48.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,CZ,2019,52.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,DE,2014,46.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,DE,2019,39.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,DK,2014,41.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,DK,2019,31.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,EE,2014,56.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,EE,2019,45.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,EL,2014,53.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,EL,2019,49.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,ES,2014,39.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,ES,2019,40.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,EU27_2020,2014,47.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,EU27_2020,2019,45.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,EU28,2014,45.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,FI,2014,41.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,FI,2019,48.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,FR,2014,50.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,FR,2019,46.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,HR,2014,43.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,HR,2019,43.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,HU,2014,40.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,HU,2019,42.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,IE,2014,37.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,IE,2019,37.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,IS,2014,41.5,
