STRUCTURE,STRUCTURE_ID,freq,unit,sex,n_hprob,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,GE5,SE,1999,0.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,GE5,UK,1999,2.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,DE,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,DK,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,EL,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,ES,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,EU_V,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,FI,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,HU,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,IE,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,IT,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,LU,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,PT,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,SE,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,TOTAL,UK,1999,100.0,
