STRUCTURE,STRUCTURE_ID,freq,isced97,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,MT,2008,9.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,PL,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,RO,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,SI,2008,12.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,SK,2008,7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,TR,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,AT,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,BE,2008,14.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,BG,2008,9.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,CY,2008,13,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,CZ,2008,6.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,DE,2008,10.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,EE,2008,11.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,EL,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,ES,2008,9.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,FR,2008,9.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,HU,2008,15.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,LV,2008,11.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,MT,2008,14,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,PL,2008,13,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,RO,2008,3.2,
