STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,SI,2008,18.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,SK,2008,25.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,TR,2008,7.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,BG,2008,4.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,CY,2008,31.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,CZ,2008,23.6,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,EE,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,EL,2008,47.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,FR,2008,69.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,HU,2008,28.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,LV,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,MT,2008,58.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,PL,2008,8.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,RO,2008,15.2,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,SI,2008,22.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,SK,2008,20.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED0-2,TR,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,BG,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,CY,2008,45.3,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,CZ,2008,20.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,EE,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,EL,2008,44.5,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,FR,2008,71.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,HU,2008,21.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,LV,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,MT,2008,61.5,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,PL,2008,18.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,RO,2008,25.2,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED3_4,SK,2008,23.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED5_6,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED5_6,EL,2008,41.8,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED5_6,FR,2008,75.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED5_6,PL,2008,28.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,ED5_6,RO,2008,27.7,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,BG,2008,5.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,CY,2008,32.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,CZ,2008,22.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,EE,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,EL,2008,46.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,FR,2008,70.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,HU,2008,27.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,LV,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,MT,2008,58.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,PL,2008,12.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,RO,2008,17.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,SI,2008,22.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,SK,2008,22.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y75-84,TOTAL,TR,2008,8.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED0-2,BG,2008,8.5,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED0-2,CY,2008,39.8,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED0-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED0-2,EL,2008,44.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED0-2,FR,2008,72.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED0-2,HU,2008,17.6,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED0-2,PL,2008,5.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED0-2,RO,2008,14.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED0-2,SK,2008,40.8,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED0-2,TR,2008,7.7,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED3_4,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED3_4,FR,2008,71.2,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED3_4,PL,2008,15.2,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED5_6,DE,2008,,c
