STRUCTURE,STRUCTURE_ID,freq,sex,age,frequenc,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,PL,2008,12.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,RO,2008,9.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,SI,2008,7.3,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,SK,2008,11,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,TR,2008,9.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,BE,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,BG,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,CY,2008,11.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,CZ,2008,5.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,EE,2008,14.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,EL,2008,12.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,ES,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,FR,2008,5.8,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,HU,2008,9.4,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,LV,2008,4.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,MT,2008,14.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,PL,2008,9.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,RO,2008,6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,SI,2008,3.0,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,SK,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED5_6,TR,2008,6.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,BE,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,BG,2008,10.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,CY,2008,10.8,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,CZ,2008,10.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,EE,2008,21.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,EL,2008,13.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,ES,2008,9.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,FR,2008,9.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,HU,2008,16.3,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,LV,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,MT,2008,16.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,PL,2008,12.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,RO,2008,11.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,SI,2008,6.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,SK,2008,10.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,TOTAL,TR,2008,12.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,BE,2008,11.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,BG,2008,12.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,CY,2008,20,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,CZ,2008,20,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,EL,2008,15.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,ES,2008,17.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,FR,2008,52,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,HU,2008,17,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,LV,2008,13.8,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,MT,2008,24.3,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,PL,2008,13.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,RO,2008,13.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,SI,2008,20.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,SK,2008,14.8,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED0-2,TR,2008,13,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,BE,2008,13.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,BG,2008,15.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,CY,2008,22.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,CZ,2008,27.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,EL,2008,18.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,ES,2008,19.4,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,FR,2008,51,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,HU,2008,16.4,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,LV,2008,16.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,MT,2008,20.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,PL,2008,17,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,RO,2008,21.3,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,SI,2008,22.0,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,SK,2008,17.3,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED3_4,TR,2008,17.3,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED5_6,BE,2008,24.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED5_6,BG,2008,15.8,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED5_6,CY,2008,23.4,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED5_6,CZ,2008,29.8,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,GE2D,ED5_6,EL,2008,20.8,
