STRUCTURE,STRUCTURE_ID,freq,isced97,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,PL,2008,65.8,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,RO,2008,67.2,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,SI,2008,67.5,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,TR,2008,55.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,F,AT,2008,64.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,F,BE,2008,54.9,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,F,BG,2008,64.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,F,CY,2008,61.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,F,EL,2008,68.3,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,F,ES,2008,64.3,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,F,HU,2008,51.3,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,F,LV,2008,60.7,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,F,PL,2008,58.5,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,F,RO,2008,63,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,F,SI,2008,52.8,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,F,TR,2008,51.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,AT,2008,69,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,BE,2008,63.9,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,BG,2008,68,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,CY,2008,69.5,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,EL,2008,71.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,ES,2008,72.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,HU,2008,60.9,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,LV,2008,65,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,MT,2008,63.3,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,PL,2008,62.2,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,RO,2008,67.9,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,SI,2008,59.6,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,M,TR,2008,54.3,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,AT,2008,66.2,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,BE,2008,59.6,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,BG,2008,66.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,CY,2008,65.5,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,EL,2008,69.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,ES,2008,68.9,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,HU,2008,56.2,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,LV,2008,63.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,MT,2008,64.3,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,PL,2008,60.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,RO,2008,65,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,SI,2008,56.2,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y35-44,T,TR,2008,52.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,AT,2008,61.7,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,BE,2008,55.6,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,BG,2008,58.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,CY,2008,59.5,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,EL,2008,64.9,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,ES,2008,62.5,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,HU,2008,48.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,LV,2008,58.7,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,MT,2008,58.9,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,PL,2008,54.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,RO,2008,56.5,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,SI,2008,52.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,SK,2008,52.3,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,F,TR,2008,49,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,AT,2008,63.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,BE,2008,60.7,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,BG,2008,62.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,CY,2008,67,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,EL,2008,72.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,ES,2008,70.9,
