STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,wstatus,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,UK,2011,3163.502,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,AT,2011,20.707,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,BE,2011,4.261,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,CH,2011,42.767,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,CY,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,CZ,2011,2.076,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,DE,2011,91.85,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,DK,2011,13.02,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,EL,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,ES,2011,11.894,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,EU28,2011,446.486,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,FI,2011,7.535,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,FR,2011,91.788,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,HU,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,IS,2011,3.177,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,IT,2011,4.746,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,LT,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,LU,2011,0.533,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,MT,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,NL,2011,26.095,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,PL,2011,8.377,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,PT,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,RO,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,SE,2011,26.229,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,SI,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,TR,2011,60.016,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,F,UK,2011,118.781,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,AT,2011,24.151,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,BE,2011,9.728,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,BG,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,CH,2011,38.284,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,CY,2011,0.631,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,CZ,2011,1.91,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,DE,2011,111.665,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,DK,2011,8.798,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,EL,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,ES,2011,10.066,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,EU28,2011,419.935,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,FI,2011,9.867,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,FR,2011,73.102,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,HR,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,HU,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,IS,2011,1.52,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,IT,2011,7.642,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,LT,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,LU,2011,0.644,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,MT,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,NL,2011,25.715,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,PL,2011,15.331,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,PT,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,RO,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,SE,2011,15.939,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,SI,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,TR,2011,111.219,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,M,UK,2011,84.381,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,AT,2011,44.858,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,BE,2011,13.989,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,BG,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,CH,2011,81.051,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,CY,2011,0.918,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,CZ,2011,3.986,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,DE,2011,203.515,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,DK,2011,21.818,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,EE,2011,3.241,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,EL,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,ES,2011,21.959,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,EU28,2011,866.42,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,FI,2011,17.402,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,FR,2011,164.891,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,HR,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,HU,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,IE,2011,1.822,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,IS,2011,4.698,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,IT,2011,12.388,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,LT,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,LU,2011,1.177,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,LV,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,MT,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,NL,2011,51.811,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,PL,2011,23.708,
