STRUCTURE,STRUCTURE_ID,freq,age,isced97,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,SK,2008,39.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,TR,2008,23.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,AT,2008,42.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,BE,2008,49.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,BG,2008,32.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,CY,2008,32.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,CZ,2008,45,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,EL,2008,40.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,ES,2008,43.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,HU,2008,47.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,LV,2008,41.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,MT,2008,37.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,PL,2008,44.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,RO,2008,22.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,SI,2008,37.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,SK,2008,42.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,T,PC,TR,2008,26.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,AT,2008,55.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,BE,2008,64.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,BG,2008,39.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,CY,2008,46.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,CZ,2008,62.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,EL,2008,55.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,ES,2008,60.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,HU,2008,60,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,LV,2008,49.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,MT,2008,46.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,PL,2008,53.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,RO,2008,35.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,SI,2008,52,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,SK,2008,55.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,F,PC,TR,2008,34.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,AT,2008,39.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,BE,2008,47.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,BG,2008,29.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,CY,2008,35.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,CZ,2008,42.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,EL,2008,41.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,ES,2008,45,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,HU,2008,44.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,LV,2008,28.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,MT,2008,40.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,PL,2008,39.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,RO,2008,24.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,SI,2008,39.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,SK,2008,38.7,
