STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,UK,2012,1977.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,AT,2012,107.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,BE,2012,239.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,BG,2012,80.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,CY,2012,10.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,CZ,2012,82.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,DE,2012,1775.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,DK,2012,144.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,EE,2012,17.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,EEA,2012,7569.5,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,EL,2012,88.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,ES,2012,561.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,EU27_2007,2012,7427.6,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,FI,2012,92.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,FR,2012,742.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,HU,2012,176.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,IS,2012,6.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,IT,2012,506.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,LT,2012,48.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,LU,2012,10.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,LV,2012,26.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,MT,2012,3.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,NL,2012,299.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,NO,2012,135.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,PL,2012,445.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,PT,2012,55.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,RO,2012,125.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,SE,2012,151.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,SI,2012,28.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,SK,2012,73.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,M,UK,2012,1536.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,AT,2012,214.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,BE,2012,547.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,BG,2012,163.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,CY,2012,20.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,CZ,2012,184.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,DE,2012,3663.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,DK,2012,314.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,EE,2012,37.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,EEA,2012,16675.6,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,EL,2012,186.7,
