STRUCTURE,STRUCTURE_ID,freq,unit,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LV,2020,10055,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,MT,2011,3966,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,MT,2012,3972,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,MT,2013,3609,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,MT,2014,3665,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,MT,2015,3704,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,MT,2016,3737,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,MT,2017,3629,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,MT,2018,3511,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,MT,2019,2953,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,MT,2020,3394,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NL,2011,3506,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NL,2012,3538,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NL,2013,3431,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NL,2014,3298,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NL,2015,3281,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NL,2016,3227,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NL,2017,3237,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NL,2018,3181,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NL,2019,3080,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NL,2020,3256,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NO,2011,4010,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NO,2012,3703,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NO,2013,3369,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NO,2014,3283,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NO,2015,3062,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NO,2016,3063,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NO,2017,2926,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NO,2018,2938,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NO,2019,2895,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,NO,2020,2818,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PL,2011,8903,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PL,2012,8766,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PL,2013,8422,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PL,2014,7940,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PL,2015,7997,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PL,2016,7834,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PL,2017,7755,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PL,2018,7832,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PL,2019,7662,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PL,2020,8298,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PT,2011,5533,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PT,2012,5292,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PT,2013,5166,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PT,2014,4991,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PT,2015,4737,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PT,2016,4763,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PT,2017,4709,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PT,2018,4689,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PT,2019,4539,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,PT,2020,4746,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RO,2011,10286,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RO,2012,9822,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RO,2013,9339,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RO,2014,9274,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RO,2015,9117,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RO,2016,9049,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RO,2017,8955,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RO,2018,8989,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RO,2019,8856,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RO,2020,9516,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RS,2011,8056,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RS,2012,7812,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RS,2013,7645,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RS,2014,7503,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RS,2015,7456,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RS,2016,7124,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RS,2017,7175,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RS,2018,6947,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RS,2019,7108,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,RS,2020,8224,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SE,2011,3369,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SE,2012,3319,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SE,2013,3355,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SE,2014,3261,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SE,2015,3286,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SE,2016,3187,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SE,2017,3154,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SE,2018,3069,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SE,2019,2863,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SE,2020,3192,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SI,2011,5140,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SI,2012,4823,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SI,2013,4898,
