STRUCTURE,STRUCTURE_ID,freq,unit,duration,sex,age,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED3_4,TR,2019,,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,AT,2019,,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,BE,2019,0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,BG,2019,0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,CY,2019,0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,CZ,2019,0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,DE,2019,,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,DK,2019,,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,EE,2019,0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,EL,2019,0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,ES,2019,0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,EU27_2020,2019,99.5,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,FI,2019,0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,FR,2019,,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,HR,2019,0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,HU,2019,0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,IE,2019,,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,Y15-19,ED5-8,IS,2019,0,
