STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,MT,2012,2.8,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,NL,2012,197.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,NO,2012,66.1,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,PL,2012,187.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,PT,2012,60.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,RO,2012,176.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,SE,2012,86.1,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,SI,2012,22.5,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,SK,2012,59.9,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,UK,2012,607.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,AT,2012,242.8,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,BE,2012,214.7,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,BG,2012,127.9,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,CY,2012,12.5,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,CZ,2012,96.6,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,DE,2012,2865.3,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,DK,2012,121.7,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,EE,2012,29.7,
