STRUCTURE,STRUCTURE_ID,freq,unit,barrier,hlth_pb,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,SI,2012,11.6,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,SK,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,UK,2012,413.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,AT,2012,329.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,BE,2012,394.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,BG,2012,338.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,CY,2012,21.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,CZ,2012,222.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,DE,2012,2888.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,DK,2012,174.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,EE,2012,58.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,EEA,2012,14433.7,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,EL,2012,342.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,ES,2012,1143.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,EU27_2007,2012,14269.7,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,FI,2012,154.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,FR,2012,1346.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,HU,2012,361.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,IS,2012,10.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,IT,2012,1311.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,LT,2012,127.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,LU,2012,14.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,LV,2012,98.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,MT,2012,11.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,NL,2012,526.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,NO,2012,153.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,PL,2012,1251.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,PT,2012,288.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,RO,2012,493.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,SE,2012,325.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,SI,2012,60.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,SK,2012,220.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,F,UK,2012,1762.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,AT,2012,268.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,BE,2012,285.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,BG,2012,261.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,CY,2012,16.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,CZ,2012,151.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,DE,2012,2851.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,DK,2012,147.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,EE,2012,30.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,EEA,2012,11787.4,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,EL,2012,264.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,ES,2012,869.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,EU27_2007,2012,11667.2,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,FI,2012,177.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,FR,2012,1132.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,HU,2012,289.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,IS,2012,8.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,IT,2012,991.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,LT,2012,84.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,LU,2012,16.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,LV,2012,50.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,MT,2012,8.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,NL,2012,450.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,TOTAL,M,NO,2012,111.4,
