STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,workproc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,WPR4,EU_V,2005,13.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,WPR5,EU_V,2005,16.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,WPR6,EU_V,2005,12.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,UNK,OTH,EU_V,2005,2.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,UNK,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,UNK,WPR1,EU_V,2005,39.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,UNK,WPR2,EU_V,2005,7.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,UNK,WPR3,EU_V,2005,1.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,UNK,WPR4,EU_V,2005,17.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,UNK,WPR5,EU_V,2005,19.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,UNK,WPR6,EU_V,2005,13.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,UNK,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,UNK,TOTAL,WPR1,EU_V,2005,61.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,UNK,TOTAL,WPR2,EU_V,2005,6.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,UNK,TOTAL,WPR5,EU_V,2005,16.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,UNK,TOTAL,WPR6,EU_V,2005,8.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,UNK,T,TOTAL,OTH,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,UNK,T,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,UNK,T,TOTAL,WPR1,EU_V,2005,13.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,UNK,T,TOTAL,WPR2,EU_V,2005,3.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,UNK,T,TOTAL,WPR3,EU_V,2005,52.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,UNK,T,TOTAL,WPR4,EU_V,2005,6.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,UNK,T,TOTAL,WPR5,EU_V,2005,9.5,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,UNK,T,TOTAL,WPR6,EU_V,2005,14.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y15-17,T,TOTAL,OTH,EU_V,2005,3.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y15-17,T,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y15-17,T,TOTAL,WPR1,EU_V,2005,40.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y15-17,T,TOTAL,WPR2,EU_V,2005,20.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y15-17,T,TOTAL,WPR3,EU_V,2005,3.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y15-17,T,TOTAL,WPR4,EU_V,2005,9.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y15-17,T,TOTAL,WPR5,EU_V,2005,13.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y15-17,T,TOTAL,WPR6,EU_V,2005,8.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y18-24,T,TOTAL,OTH,EU_V,2005,2.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y18-24,T,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y18-24,T,TOTAL,WPR1,EU_V,2005,44.1,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y18-24,T,TOTAL,WPR2,EU_V,2005,15.1,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y18-24,T,TOTAL,WPR3,EU_V,2005,2.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y18-24,T,TOTAL,WPR4,EU_V,2005,11.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,Y18-24,T,TOTAL,WPR5,EU_V,2005,15.3,
