STRUCTURE,STRUCTURE_ID,freq,sex,age,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EU28,2013,48.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,FI,2007,53.5,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,FI,2013,67.7,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,FI,2020,75.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,FR,2007,73.3,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,FR,2013,82.6,bd
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,FR,2020,79.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,HR,2007,19.8,u
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,HR,2013,31.7,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,HR,2020,54.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,HU,2007,18.7,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,HU,2013,48.8,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,HU,2020,55.1,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,IE,2007,10.6,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,IE,2013,33.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,IE,2020,48.7,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,IS,2007,36.9,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,IS,2020,75.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,IT,2007,21.5,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,IT,2013,66.8,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,IT,2020,51.8,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,LT,2007,23.5,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,LT,2013,48.0,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,LT,2020,42.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,LU,2007,8.0,du
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,LU,2013,64.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,LU,2020,82.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,LV,2007,,u
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,LV,2013,52.8,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,LV,2020,57.5,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,MT,2007,21.7,du
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,MT,2013,18.2,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,MT,2020,37.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,NL,2007,40.7,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,NL,2020,77.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,NO,2007,21.1,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,NO,2013,29.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,NO,2020,88.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,PL,2007,35.9,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,PL,2013,46.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,PL,2020,60.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,PT,2007,,u
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,PT,2013,74.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,PT,2020,78.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,RO,2007,37.8,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,RO,2013,41.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,RO,2020,63.6,b
