STRUCTURE,STRUCTURE_ID,freq,unit,sex,nace_r2,severity,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,RO,2012,276,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,RO,2013,269,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,RO,2014,272,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,RO,2015,281,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,RO,2016,236,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,RO,2017,241,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,RO,2018,235,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,RO,2019,227,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,RO,2020,179,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,RO,2021,172,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SE,2010,54,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SE,2011,58,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SE,2012,45,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SE,2013,35,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SE,2014,40,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SE,2015,34,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SE,2016,37,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SE,2017,44,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SE,2018,50,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SE,2019,36,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SE,2020,24,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SE,2021,39,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SI,2010,24,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SI,2011,19,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SI,2012,22,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SI,2013,20,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SI,2014,25,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SI,2015,23,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SI,2016,14,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SI,2017,16,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SI,2018,15,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SI,2019,15,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SI,2020,17,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SI,2021,14,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SK,2010,48,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SK,2011,38,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SK,2012,53,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SK,2013,55,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SK,2014,40,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,SK,2015,55,
