STRUCTURE,STRUCTURE_ID,freq,unit,wsta_acc,age,injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,TOTAL,INJ040,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,TOTAL,INJ060,EU_V,1999,0.8,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,TOTAL,INJ072,EU_V,1999,0.9,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,TOTAL,OTH,EU_V,1999,1.8,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,TOTAL,POIS_ASP,EU_V,1999,2.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,TOTAL,TOTAL,EU_V,1999,1.5,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,TOTAL,UNK,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,Y15-24,CONT_BRU,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,Y15-24,CUT_LACE,EU_V,1999,0.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,Y15-24,INJ020,EU_V,1999,0.6,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,Y15-24,INJ030,EU_V,1999,0.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,Y15-24,INJ040,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,Y15-24,INJ060,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,Y15-24,INJ072,EU_V,1999,0.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,Y15-24,OTH,EU_V,1999,0.6,
