STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,worktime,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,IT,2011,7.129,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,LT,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,LU,2011,0.625,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,MT,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,NL,2011,7.551,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,PL,2011,11.044,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,PT,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,RO,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,SE,2011,11.809,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,SI,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,TR,2011,100.892,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,UK,2011,56.212,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,AT,2011,35.87,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,BE,2011,10.642,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,BG,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,CH,2011,61.986,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,CY,2011,0.563,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,CZ,2011,3.567,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,DE,2011,151.776,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,DK,2011,8.248,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,EE,2011,2.733,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,EL,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,ES,2011,14.148,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,EU28,2011,555.166,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,FI,2011,10.592,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,FR,2011,115.887,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,HR,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,HU,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,IE,2011,1.007,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,IS,2011,3.06,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,IT,2011,9.449,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,LT,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,LU,2011,1.026,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,LV,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,MT,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,NL,2011,10.385,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,PL,2011,18.672,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,PT,2011,10.619,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,RO,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,SE,2011,20.979,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,SI,2011,1.119,u
