STRUCTURE,STRUCTURE_ID,freq,hlthcare,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BG,2019,63.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BG,2020,52.45,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BG,2021,55.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CH,2010,78.27,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CH,2011,79.39,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CH,2012,77.78,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CH,2013,78.35,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CH,2014,79.03,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CH,2015,79.92,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CH,2016,80.21,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CH,2017,78.27,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CH,2018,78.21,b
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CH,2019,78.06,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CH,2020,73.95,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CH,2021,76.56,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CY,2019,61.39,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CY,2020,49.30,bd
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,CY,2021,51.00,bd
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2000,78.60,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2001,77.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2002,78.10,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2003,75.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2004,73.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2005,73.60,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2006,74.90,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2007,76.10,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2008,76.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2009,76.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2010,76.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2011,76.20,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2012,76.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2013,76.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2014,76.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2015,76.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2016,77.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,DE,2017,76.70,
