STRUCTURE,STRUCTURE_ID,freq,sex,age,c_birth,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,EE,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,EE,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,EE,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,EL,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,EL,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,EL,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,ES,2007,2.2,d
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,ES,2013,1.3,
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,ES,2020,1.2,
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,EU27_2020,2007,1.8,d
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,EU27_2020,2020,1.1,
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,EU28,2007,1.6,d
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,FI,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,FI,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,FI,2020,3.6,u
