STRUCTURE,STRUCTURE_ID,freq,bmi,sex,age,quantile,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,EL,2008,48.0,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,ES,2008,53.2,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,FR,2008,57.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,HU,2008,45.2,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,LV,2008,43.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,MT,2008,46.0,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,PL,2008,50.1,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,RO,2008,52.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,SI,2008,50.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,SK,2008,52.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,TR,2008,46.6,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,BE,2008,56.9,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,BG,2008,59.3,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,CY,2008,60.2,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,CZ,2008,53.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,DE,2008,55.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,EE,2008,60.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,EL,2008,44.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,ES,2008,55.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,FR,2008,57.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,HU,2008,56.9,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,MT,2008,49.9,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,PL,2008,51.9,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,RO,2008,57.2,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,SI,2008,53.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,SK,2008,61.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,UNK,TR,2008,58.5,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,AT,2008,66.2,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,BE,2008,62.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,BG,2008,61.9,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,CY,2008,72.2,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,DE,2008,57.2,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,EE,2008,70.5,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,EL,2008,59.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,ES,2008,54.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,HU,2008,60.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,LV,2008,62.8,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,MT,2008,61.1,u
