STRUCTURE,STRUCTURE_ID,freq,unit,assist,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,SE,2012,45.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,SI,2012,11.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,SK,2012,30.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,UK,2012,1141.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,AT,2012,149.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,BE,2012,382.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,BG,2012,252.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,CY,2012,18.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,CZ,2012,241.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,DE,2012,2318.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,DK,2012,135.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,EE,2012,61.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,EEA,2012,16688.8,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,EL,2012,438.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,ES,2012,2129.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,EU27_2007,2012,16542.8,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,FI,2012,77.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,FR,2012,1810.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,HU,2012,270.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,IS,2012,5.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,IT,2012,2566.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,LT,2012,161.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,LU,2012,12.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,LV,2012,49.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,MT,2012,8.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,NL,2012,386.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,NO,2012,140.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,PL,2012,1058.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,PT,2012,329.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,RO,2012,672.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,SE,2012,193.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,SI,2012,51.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,SK,2012,117.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,F,UK,2012,2652.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,AT,2012,101.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,BE,2012,200.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,BG,2012,168.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,CY,2012,15.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,CZ,2012,155.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,DE,2012,1419.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,DK,2012,95.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,EE,2012,27.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,EEA,2012,10514.7,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,EL,2012,242.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,ES,2012,1173.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,EU27_2007,2012,10431.4,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,FI,2012,43.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,FR,2012,1302.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,HU,2012,113.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,IS,2012,2.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,IT,2012,1372.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,LT,2012,66.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,LU,2012,8.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,LV,2012,22.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,MT,2012,6.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,NL,2012,242.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,NO,2012,81.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,PL,2012,611.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,PT,2012,204.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,RO,2012,444.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,SE,2012,117.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,SI,2012,22.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,SK,2012,79.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,M,UK,2012,2174.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,T,AT,2012,251.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,T,BE,2012,583.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,T,BG,2012,421.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,T,CY,2012,34.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,T,CZ,2012,396.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,T,DE,2012,3738.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,T,DK,2012,231.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,T,EE,2012,89.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,T,EEA,2012,27203.5,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,T,EL,2012,680.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,POP,T,ES,2012,3302.2,
