STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,wrkstat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,D,WST_2,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,D,WST_9,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,E,TOTAL,EU_V,2005,5.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,E,WST_1,EU_V,2005,3.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,E,WST_2,EU_V,2005,2.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,F,TOTAL,EU_V,2005,14.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,F,WST_1,EU_V,2005,6.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,F,WST_2,EU_V,2005,5.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,F,WST_9,EU_V,2005,2.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,G,TOTAL,EU_V,2005,2.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,G,WST_1,EU_V,2005,0.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,G,WST_2,EU_V,2005,1.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,G,WST_9,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,H,TOTAL,EU_V,2005,0.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,H,WST_1,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,H,WST_2,EU_V,2005,0.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,I,TOTAL,EU_V,2005,10.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,I,WST_1,EU_V,2005,3.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,I,WST_2,EU_V,2005,6.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,I,WST_9,EU_V,2005,0.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,J,TOTAL,EU_V,2005,1.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,J,WST_1,EU_V,2005,0.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,J,WST_2,EU_V,2005,0.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,K,TOTAL,EU_V,2005,2.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,K,WST_1,EU_V,2005,0.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,K,WST_2,EU_V,2005,1.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,K,WST_9,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,L,TOTAL,EU_V,2005,1.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,L,WST_1,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,L,WST_2,EU_V,2005,0.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,L,WST_9,EU_V,2005,0.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,M,TOTAL,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,M,WST_1,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,M,WST_2,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,N,TOTAL,EU_V,2005,0.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,N,WST_1,EU_V,2005,0.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,N,WST_2,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,O,TOTAL,EU_V,2005,2.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,O,WST_1,EU_V,2005,1.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,O,WST_2,EU_V,2005,1.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,O,WST_9,EU_V,2005,0.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,TOTAL,TOTAL,EU_V,2005,3.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,TOTAL,WST_1,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,TOTAL,WST_2,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,TOTAL,WST_9,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y15-17,T,TOTAL,TOTAL,EU_V,2005,0.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y18-24,T,TOTAL,TOTAL,EU_V,2005,2.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y18-24,T,TOTAL,WST_1,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y18-24,T,TOTAL,WST_2,EU_V,2005,0.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y18-24,T,TOTAL,WST_9,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y25-34,T,TOTAL,TOTAL,EU_V,2005,2.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y25-34,T,TOTAL,WST_1,EU_V,2005,1.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y25-34,T,TOTAL,WST_2,EU_V,2005,1.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y25-34,T,TOTAL,WST_9,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y35-44,T,TOTAL,TOTAL,EU_V,2005,3.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y35-44,T,TOTAL,WST_1,EU_V,2005,1.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y35-44,T,TOTAL,WST_2,EU_V,2005,1.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y35-44,T,TOTAL,WST_9,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y45-54,T,TOTAL,TOTAL,EU_V,2005,4.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y45-54,T,TOTAL,WST_1,EU_V,2005,2.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y45-54,T,TOTAL,WST_2,EU_V,2005,1.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y45-54,T,TOTAL,WST_9,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y55-64,T,TOTAL,TOTAL,EU_V,2005,6.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y55-64,T,TOTAL,WST_1,EU_V,2005,2.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y55-64,T,TOTAL,WST_2,EU_V,2005,2.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y55-64,T,TOTAL,WST_9,EU_V,2005,0.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y_GE65,T,TOTAL,TOTAL,EU_V,2005,6.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y_GE65,T,TOTAL,WST_1,EU_V,2005,4.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y_GE65,T,TOTAL,WST_2,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,Y_GE65,T,TOTAL,WST_9,EU_V,2005,0.8,
