STRUCTURE,STRUCTURE_ID,freq,unit,sex,indic_de,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IE,2018,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IE,2019,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IE,2020,0.2,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IS,2012,,c
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IS,2013,,c
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IS,2015,,c
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IS,2017,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IS,2018,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IS,2019,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IS,2020,0.44,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IT,2011,0.03,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IT,2012,0.04,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IT,2013,0.04,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IT,2014,0.03,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IT,2015,0.03,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IT,2016,0.04,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IT,2017,0.03,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IT,2018,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IT,2019,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IT,2020,0.03,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LI,2017,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LI,2018,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LI,2019,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LI,2020,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LT,2011,0.07,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LT,2012,0.03,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LT,2013,0.03,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LT,2014,0.16,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LT,2015,0.1,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LT,2016,0.07,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LT,2017,0.03,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LT,2018,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LT,2019,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LT,2020,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LU,2011,0.18,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LU,2013,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,LU,2014,0,
