STRUCTURE,STRUCTURE_ID,freq,unit,barrier,isced97,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,CZ,2012,328.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,DE,2012,2909.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,DK,2012,98.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,EE,2012,34.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,EEA,2012,9029.9,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,EL,2012,86.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,ES,2012,219.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,EU27_2007,2012,8909.3,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,FI,2012,60.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,FR,2012,550.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,HU,2012,347.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,IS,2012,1.9,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,IT,2012,214.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,LT,2012,80.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,LU,2012,7.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,LV,2012,42.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,MT,2012,1.8,u
