STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,frequenc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,CY,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,CZ,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,EL,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,ES,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,FR,2008,4.4,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,HU,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,LV,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,MT,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,PL,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,RO,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,SI,2008,3.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,SK,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,BE,2008,46.8,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,BG,2008,49.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,CY,2008,51.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,CZ,2008,63.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,EL,2008,42.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,ES,2008,38.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,FR,2008,54.7,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,HU,2008,43.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,LV,2008,73.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,MT,2008,41.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,PL,2008,64.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,RO,2008,56.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,SI,2008,60.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,MTH,PC,SK,2008,68.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,BE,2008,23.4,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,BG,2008,41.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,CY,2008,43.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,CZ,2008,22.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,EL,2008,44.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,ES,2008,47.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,FR,2008,29.7,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,HU,2008,49.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,LV,2008,23.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,MT,2008,47.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,PL,2008,32.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,RO,2008,40.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,SI,2008,29.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,NVR,PC,SK,2008,27.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,WEEK,PC,BE,2008,20.8,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,WEEK,PC,BG,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,WEEK,PC,CY,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,WEEK,PC,CZ,2008,10.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,WEEK,PC,EL,2008,9.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,WEEK,PC,ES,2008,8.0,
