STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,EEA,2012,14350.2,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,EL,2012,262.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,ES,2012,1089.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,EU27_2007,2012,14215.9,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,FI,2012,181.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,FR,2012,1156.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,HU,2012,507.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,IS,2012,8.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,IT,2012,1023.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,LT,2012,92.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,LU,2012,18.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,LV,2012,76.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,MT,2012,7.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,NL,2012,442.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,NO,2012,126.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,PL,2012,1261.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,PT,2012,234.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,RO,2012,666.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,SE,2012,206.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,SI,2012,96.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,SK,2012,164.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,UK,2012,1583.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,AT,2012,739.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,BE,2012,650.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,BG,2012,649.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,CY,2012,42.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,CZ,2012,724.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,DE,2012,8000.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,DK,2012,495.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,EE,2012,99.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,EEA,2012,34690.0,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,EL,2012,659.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,ES,2012,2613.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,EU27_2007,2012,34296.7,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,FI,2012,401.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,FR,2012,2879.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,HU,2012,1272.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,IS,2012,23.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,IT,2012,2666.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,LT,2012,261.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,LU,2012,39.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,LV,2012,235.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,MT,2012,16.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,NL,2012,1184.1,
