STRUCTURE,STRUCTURE_ID,freq,sex,age,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,CH,2013,40.8,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,CH,2020,44.9,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,CZ,2013,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,CZ,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,DK,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,DK,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,EA19,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,EE,2013,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,ES,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,ES,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,EU27_2020,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,FI,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,FI,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,FR,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,FR,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,HR,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,HU,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,HU,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,IE,2013,,c
