STRUCTURE,STRUCTURE_ID,freq,unit,hhcomp,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,SI,2012,32.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,SK,2012,83.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,UK,2012,701.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,AT,2012,118.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,BE,2012,130.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,BG,2012,166.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,CY,2012,15.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,CZ,2012,187.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,DE,2012,1943.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,DK,2012,100.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,EE,2012,17.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,EEA,2012,7062.3,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,EL,2012,169.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,ES,2012,405.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,EU27_2007,2012,6988.6,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,FI,2012,102.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,FR,2012,849.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,HU,2012,239.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,IS,2012,3.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,IT,2012,644.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,LT,2012,41.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,LU,2012,6.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,LV,2012,45.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,MT,2012,3.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,NL,2012,252.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,NO,2012,69.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,PL,2012,426.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,PT,2012,109.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,RO,2012,185.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,SE,2012,145.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,SI,2012,32.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,SK,2012,57.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,M,UK,2012,593.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,AT,2012,237.0,
