STRUCTURE,STRUCTURE_ID,freq,unit,severity,sizeclas,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A_D-K,EU15_NO,2005,3781,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A_D-K,EU15_NO,2006,3841,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A_D-K,EU15_NO,2007,3496,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,D,EU15_NO,1996,5527,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,D,EU15_NO,1997,5452,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,D,EU15_NO,1998,5421,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,D,EU15_NO,1999,5485,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,D,EU15_NO,2000,5959,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,D,EU15_NO,2001,5607,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,D,EU15_NO,2002,5309,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,D,EU15_NO,2003,5171,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,D,EU15_NO,2004,5133,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,D,EU15_NO,2005,4651,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,D,EU15_NO,2006,4520,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,D,EU15_NO,2007,4216,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,E,EU15_NO,1996,3990,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,E,EU15_NO,1997,4515,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,E,EU15_NO,1998,4414,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,E,EU15_NO,1999,4067,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,E,EU15_NO,2002,1532,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,E,EU15_NO,2003,1683,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,E,EU15_NO,2004,1750,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,E,EU15_NO,2005,1753,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,E,EU15_NO,2006,1714,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,E,EU15_NO,2007,1913,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,F,EU15_NO,1996,8951,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,F,EU15_NO,1997,9058,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,F,EU15_NO,1998,9409,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,F,EU15_NO,1999,9496,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,F,EU15_NO,2000,7868,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,F,EU15_NO,2001,7022,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,F,EU15_NO,2002,7079,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,F,EU15_NO,2003,7056,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,F,EU15_NO,2004,7174,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,F,EU15_NO,2005,6867,
