STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,modinj,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,M,CMI40,EU_V,2005,9304,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,M,CMI50,EU_V,2005,8886,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,M,CMI60,EU_V,2005,2166,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,M,CMI70,EU_V,2005,13523,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,M,CMI80,EU_V,2005,3576,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,M,CMI90,EU_V,2005,1933,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,M,TOTAL,EU_V,2005,64865,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,N,CMI10,EU_V,2005,6445,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,N,CMI20,EU_V,2005,132,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,N,CMI30,EU_V,2005,50354,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,N,CMI40,EU_V,2005,18591,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,N,CMI50,EU_V,2005,27430,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,N,CMI60,EU_V,2005,7284,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,N,CMI70,EU_V,2005,61672,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,N,CMI80,EU_V,2005,15261,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,N,CMI90,EU_V,2005,5270,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,N,TOTAL,EU_V,2005,192441,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,O,CMI10,EU_V,2005,3399,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,O,CMI20,EU_V,2005,145,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,O,CMI30,EU_V,2005,35753,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,O,CMI40,EU_V,2005,19489,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,O,CMI50,EU_V,2005,15236,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,O,CMI60,EU_V,2005,5728,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,O,CMI70,EU_V,2005,28718,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,O,CMI80,EU_V,2005,6587,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,O,CMI90,EU_V,2005,2877,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,O,TOTAL,EU_V,2005,117931,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,P,CMI10,EU_V,2005,101,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,P,CMI30,EU_V,2005,1582,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,P,CMI40,EU_V,2005,500,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,P,CMI50,EU_V,2005,635,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,P,CMI60,EU_V,2005,86,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,P,CMI70,EU_V,2005,597,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,P,CMI80,EU_V,2005,61,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,P,CMI90,EU_V,2005,76,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,P,TOTAL,EU_V,2005,3640,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,Q,CMI10,EU_V,2005,13,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,Q,CMI30,EU_V,2005,108,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,Q,CMI40,EU_V,2005,64,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,Q,CMI50,EU_V,2005,97,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,Q,CMI60,EU_V,2005,24,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,Q,CMI70,EU_V,2005,90,
