STRUCTURE,STRUCTURE_ID,freq,isced97,bmi,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,CY,2008,26.3,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,CZ,2008,30.9,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,DE,2008,32.7,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,EE,2008,20.5,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,EL,2008,22.5,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,ES,2008,26.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,FR,2008,42.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,HU,2008,20.3,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,LV,2008,17.1,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,MT,2008,27.4,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,PL,2008,24.8,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,RO,2008,39.9,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,SI,2008,20.5,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,SK,2008,21.3,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,TR,2008,23.7,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,AT,2008,35.3,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,BE,2008,38.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,BG,2008,41.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,CY,2008,38.8,
