STRUCTURE,STRUCTURE_ID,freq,age,isced97,sex,isco08,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,PL,2008,2.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,RO,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,SI,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,SK,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,TR,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,AT,2008,14.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,BE,2008,19.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,BG,2008,5.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,CY,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,CZ,2008,14.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,EL,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,ES,2008,18.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,FR,2008,21.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,HU,2008,7.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,LV,2008,13.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,MT,2008,10.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,PL,2008,11.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,RO,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,SI,2008,12.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,SK,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2264,PC,TR,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2634,PC,AT,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2634,PC,BE,2008,6.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2634,PC,BG,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2634,PC,CY,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED5_6,F,OC2634,PC,CZ,2008,5.8,
