STRUCTURE,STRUCTURE_ID,freq,unit,icha11_fs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2015,400.99,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2016,422.74,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2017,434.66,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2018,463.36,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2019,444.56,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2020,504.07,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2021,593.40,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IE,2011,2854.14,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IE,2012,2899.84,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IE,2013,2811.47,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IE,2014,2825.29,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IE,2015,2932.30,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IE,2016,3061.49,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IE,2017,3205.08,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IE,2018,3388.17,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IE,2019,3569.11,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IE,2020,4158.46,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IS,2011,2249.44,
