STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,icha_hc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,PL,2008,11.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,RO,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,SI,2008,9.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,SK,2008,12.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,DAY,PC,AT,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,DAY,PC,BE,2008,7.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,DAY,PC,BG,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,DAY,PC,CY,2008,5.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,DAY,PC,CZ,2008,6.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,DAY,PC,EL,2008,13.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,DAY,PC,ES,2008,7.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,DAY,PC,HU,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,DAY,PC,LV,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,DAY,PC,PL,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,DAY,PC,SI,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,DAY,PC,SK,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,AT,2008,13.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,BE,2008,6.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,BG,2008,5.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,CY,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,CZ,2008,13.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,ES,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,FR,2008,10.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,HU,2008,10.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,LV,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,PL,2008,6.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,RO,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,SI,2008,5.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED0-2,IN,PC,SK,2008,7.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,AT,2008,8.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,BE,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,BG,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,CY,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,CZ,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,EL,2008,8.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,ES,2008,6.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,HU,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,LV,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,MT,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,PL,2008,3.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,RO,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,SI,2008,4.2,
