STRUCTURE,STRUCTURE_ID,freq,unit,isced97,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,ES,2012,958.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,EU27_2007,2012,7122.8,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,FI,2012,137.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,FR,2012,680.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,HU,2012,233.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,IS,2012,5.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,IT,2012,1010.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,LT,2012,35.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,LU,2012,10.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,LV,2012,38.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,MT,2012,9.5,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,NL,2012,348.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,NO,2012,48.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,PL,2012,697.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,PT,2012,274.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,RO,2012,380.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,SE,2012,127.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,SI,2012,36.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,SK,2012,28.1,u
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,UK,2012,451.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,AT,2012,329.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,BE,2012,428.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,BG,2012,362.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,CY,2012,37.5,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,CZ,2012,228.1,
