STRUCTURE,STRUCTURE_ID,freq,severity,nace_r1,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,E,NR,EU15_NO,2006,1421,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,E,NR,EU15_NO,2007,1028,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,F,NR,EU15_NO,1996,50992,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,F,NR,EU15_NO,1997,42866,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,F,NR,EU15_NO,1998,44354,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,F,NR,EU15_NO,1999,44287,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,F,NR,EU15_NO,2000,47955,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,F,NR,EU15_NO,2001,49561,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,F,NR,EU15_NO,2002,48144,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,F,NR,EU15_NO,2003,112148,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,F,NR,EU15_NO,2004,68824,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,F,NR,EU15_NO,2005,75116,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,F,NR,EU15_NO,2006,66984,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,F,NR,EU15_NO,2007,44440,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,G,NR,EU15_NO,1996,33925,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,G,NR,EU15_NO,1997,27582,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,G,NR,EU15_NO,1998,28300,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,G,NR,EU15_NO,1999,28944,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,G,NR,EU15_NO,2000,31425,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,G,NR,EU15_NO,2001,31486,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,G,NR,EU15_NO,2002,33217,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,G,NR,EU15_NO,2003,64651,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,G,NR,EU15_NO,2004,44670,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,G,NR,EU15_NO,2005,46810,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,G,NR,EU15_NO,2006,38788,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,G,NR,EU15_NO,2007,29624,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,H,NR,EU15_NO,1996,11363,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,H,NR,EU15_NO,1997,9548,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,H,NR,EU15_NO,1998,10120,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,H,NR,EU15_NO,1999,10933,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,H,NR,EU15_NO,2000,11762,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,H,NR,EU15_NO,2001,11353,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,H,NR,EU15_NO,2002,12066,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,H,NR,EU15_NO,2003,25101,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,H,NR,EU15_NO,2004,16719,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,H,NR,EU15_NO,2005,17513,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,H,NR,EU15_NO,2006,15942,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,H,NR,EU15_NO,2007,11680,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,I,NR,EU15_NO,1996,21610,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,I,NR,EU15_NO,1997,18275,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,I,NR,EU15_NO,1998,19031,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,I,NR,EU15_NO,1999,19776,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,I,NR,EU15_NO,2000,21541,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,I,NR,EU15_NO,2001,21758,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,I,NR,EU15_NO,2002,23183,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,I,NR,EU15_NO,2003,38785,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,I,NR,EU15_NO,2004,28927,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,I,NR,EU15_NO,2005,29244,
