STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,isco08,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,SK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,TR,2011,171.235,
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,UK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,CH,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,DK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,NL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,PL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,SE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,SI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,TR,2011,177.067,
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,F,UK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,CH,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,DE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,DK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,FI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,HR,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,NL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,PL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,SI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,TR,2011,404.44,
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,M,UK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,CH,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,DE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,DK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,EE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,EU28,2011,,u
