STRUCTURE,STRUCTURE_ID,freq,unit,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NO,2019,0.46,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,PL,2018,0.16,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,PL,2019,0.18,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RO,2012,0.08,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RO,2013,0.09,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RO,2014,0.09,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RO,2015,0.09,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RO,2016,0.10,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RO,2017,0.10,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RO,2018,0.11,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RO,2019,0.12,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RS,2014,1.09,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RS,2015,1.62,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RS,2016,1.75,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RS,2017,1.82,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RS,2018,1.86,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,RS,2019,1.91,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SI,2011,0.88,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SI,2014,1.40,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SI,2015,1.28,
