STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,FI,2011,42.5,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,FR,2011,40,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,HR,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,HU,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,IE,2011,21.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,IS,2011,43.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,IT,2011,14.5,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,LT,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,LU,2011,35,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,LV,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,MT,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,NL,2011,23.3,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,PL,2011,18.7,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,PT,2011,25.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,RO,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,SE,2011,38.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,SI,2011,25,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,SK,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,TR,2011,5.9,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,UK,2011,25.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,AT,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,BE,2011,14.1,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,BG,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,CH,2011,37.9,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,CY,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,CZ,2011,5.2,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,DE,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,DK,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,EE,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,EL,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,ES,2011,25.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,FI,2011,22.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,FR,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,HR,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,HU,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,IE,2011,19.5,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,IS,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,IT,2011,8.7,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,LT,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,LU,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,LV,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,MT,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,NL,2011,19.9,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,PL,2011,8.3,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,PT,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,RO,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,SE,2011,28.2,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,SI,2011,25.4,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,SK,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,TR,2011,7.9,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,M,UK,2011,25.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,AT,2011,17.5,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,BE,2011,17.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,BG,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,CH,2011,32.5,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,CY,2011,17.9,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,CZ,2011,11.3,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,DE,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,DK,2011,21.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,EE,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,EL,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,ES,2011,35.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,FI,2011,33.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,FR,2011,33.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,HR,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,HU,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,IE,2011,20.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,IS,2011,40.9,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,IT,2011,11.2,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,LT,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,LU,2011,32.1,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,LV,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,MT,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,NL,2011,22.1,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,PL,2011,13.2,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,PT,2011,18.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,RO,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,SE,2011,34.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,SI,2011,25.2,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,SK,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,TR,2011,6.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,T,UK,2011,25.4,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,AT,2011,25.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,BE,2011,54.5,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,BG,2011,39.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,CH,2011,41.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,CY,2011,52.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,CZ,2011,27.5,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,DE,2011,31.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,DK,2011,49.9,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,EE,2011,51.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,EL,2011,31.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,ES,2011,47.4,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,FI,2011,58.2,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,FR,2011,50.5,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,HR,2011,33.1,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1071,F,HU,2011,33.8,
