STRUCTURE,STRUCTURE_ID,freq,sex,age,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,HR,2013,25.0,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,HR,2020,47.1,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,HU,2013,43.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,HU,2020,51.7,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,IE,2013,31.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,IE,2020,46.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,IS,2020,69.0,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,IT,2013,63.8,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,IT,2020,52.2,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,LT,2013,37.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,LT,2020,24.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,LU,2013,66.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,LU,2020,81.8,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,LV,2013,46.2,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,LV,2020,61.3,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,MT,2013,23.0,bu
