STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,levels,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,SK,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,TR,2008,9.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,MOD,PC,BG,2008,8.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,MOD,PC,CY,2008,11.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,MOD,PC,CZ,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,MOD,PC,EL,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,MOD,PC,ES,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,MOD,PC,FR,2008,2.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,MOD,PC,HU,2008,6.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,MOD,PC,LV,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,MOD,PC,PL,2008,3.7,u
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,MOD,PC,RO,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,MOD,PC,SK,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,MOD,PC,TR,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,BG,2008,84.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,CY,2008,77.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,CZ,2008,92.7,
