STRUCTURE,STRUCTURE_ID,freq,unit,yes_no,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,IS,2011,2.106,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,IT,2011,22.661,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,LT,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,LU,2011,0.842,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,LV,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,MT,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,NL,2011,20.195,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,PL,2011,22.998,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,PT,2011,13.609,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,RO,2011,16.144,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,SE,2011,27.491,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,SI,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,SK,2011,3.554,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,TR,2011,191.757,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,UK,2011,179.016,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,AT,2011,23.412,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,BE,2011,17.524,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,BG,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,CH,2011,25.85,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,CY,2011,1.633,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,CZ,2011,5.626,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,DE,2011,109.705,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,DK,2011,10.402,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,EE,2011,2.754,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,EL,2011,4.427,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,ES,2011,24.02,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,FI,2011,12.874,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,FR,2011,90.187,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,HR,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,HU,2011,7.711,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,IE,2011,3.828,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,IS,2011,1.368,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,IT,2011,34.919,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,LT,2011,5.495,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,LU,2011,0.625,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,LV,2011,,u
