STRUCTURE,STRUCTURE_ID,freq,lev_diff,sex,age,yes_no,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,NL,2019,94.8,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,NO,2019,63.4,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,PL,2019,94.7,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,PT,2019,92.8,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,RO,2019,100,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,RS,2019,86.3,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,SE,2019,87.8,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,SI,2019,91.9,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,SK,2019,100,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,TR,2019,98.3,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,AT,2019,45.4,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,BE,2019,43.2,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,BG,2019,57.5,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,CY,2019,60.8,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,CZ,2019,65.5,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,DE,2019,44.1,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,DK,2019,30.9,
