STRUCTURE,STRUCTURE_ID,freq,deg_urb,sex,age,lev_diff,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,NO,2019,93.3,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,PL,2019,66.1,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,PT,2019,66.7,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,RO,2019,44.1,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,RS,2019,0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,SE,2019,74.1,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,SI,2019,81.7,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,SK,2019,60.3,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,TR,2019,0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,AT,2019,9.6,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,BE,2019,12.3,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,BG,2019,6.1,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,CY,2019,12.7,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,CZ,2019,10.8,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,DE,2019,9.2,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,DK,2019,11.9,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,EE,2019,15.3,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,EL,2019,8.7,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,ES,2019,10.3,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,EU27_2020,2019,12.3,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,FI,2019,6.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,FR,2019,14.8,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,HR,2019,10.4,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,HU,2019,6.6,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,IE,2019,8.8,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,IS,2019,8.5,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,IT,2019,6.7,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,LT,2019,14.1,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,LU,2019,5.7,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,LV,2019,20.4,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,MT,2019,9.3,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,NL,2019,25.9,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,NO,2019,1.8,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,PL,2019,10.2,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,PT,2019,15.5,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,RO,2019,37.5,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,RS,2019,0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,SE,2019,7.3,
