STRUCTURE,STRUCTURE_ID,freq,unit,quantile,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,CZ,2012,179.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,DE,2012,4226.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,DK,2012,216.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,EE,2012,45.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,EEA,2012,14812.2,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,EL,2012,171.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,ES,2012,801.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,EU27_2007,2012,14665.8,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,FI,2012,247.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,FR,2012,869.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,HU,2012,617.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,IS,2012,8.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,IT,2012,708.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,LT,2012,81.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,LU,2012,12.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,LV,2012,125.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,MT,2012,10.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,NL,2012,444.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,NO,2012,137.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,PL,2012,1088.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,PT,2012,58.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,RO,2012,1513.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,SE,2012,204.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,SI,2012,81.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,SK,2012,239.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,UK,2012,1888.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,AT,2012,173.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,BE,2012,178.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,BG,2012,402.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,CY,2012,13.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,CZ,2012,197.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,DE,2012,3561.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,DK,2012,190.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,EE,2012,68.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,EEA,2012,15293.4,e
