STRUCTURE,STRUCTURE_ID,freq,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FR,1996,76.3,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FR,1997,76.7,p
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FR,1998,76.3,p
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FR,1999,76.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FR,2000,76.4,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FR,2001,76.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FR,2002,76.7,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FR,2003,77.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,HU,2003,75.4,p
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IE,1999,85.8,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IE,2000,84.6,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IE,2001,83.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IE,2002,82.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IE,2003,81.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IT,1995,86.1,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IT,1996,86.6,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IT,1997,87.4,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IT,1998,87.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IT,1999,87.8,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IT,2000,88.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IT,2001,88.2,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IT,2002,89.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,IT,2003,89.7,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,MT,2002,80.9,p
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,NL,1995,77.3,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,NL,1996,76.6,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,NL,1997,76.3,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,NL,1998,75.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,NL,1999,76.3,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,NL,2000,74.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,NL,2001,73.6,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,NL,2002,73.5,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,NL,2003,72.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,NO,2003,78.4,p
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,PL,1996,87.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,PL,2002,87.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,PT,1995,80.1,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,PT,1996,76.8,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,PT,1997,76.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,PT,1998,77.0,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,PT,1999,76.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,PT,2000,77.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,PT,2001,78.1,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,PT,2002,76.7,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,PT,2003,76.7,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,SE,1997,73.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,SE,1998,74.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,SE,1999,75.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,SE,2000,75.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,SE,2001,74.3,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,SE,2002,75.4,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,SE,2003,75.5,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,UK,1995,77.3,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,UK,1996,77.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,UK,1997,76.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,UK,1998,78.0,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,UK,1999,76.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,UK,2000,76.4,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,UK,2001,75.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,UK,2002,75.7,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,UK,2003,75.4,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,AT,1995,80.1,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,AT,1996,80.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,AT,1997,80.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,AT,1998,81,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,AT,1999,81,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,AT,2000,81.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,AT,2001,81.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,AT,2002,81.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,AT,2003,81.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,BE,1995,80.4,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,BE,1996,80.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,BE,1997,80.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,BE,1998,80.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,BE,1999,81,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,BE,2000,81,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,BE,2001,81.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,BE,2002,81.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,BE,2003,81.1,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,BG,1995,74.9,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,BG,1996,74.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_LE,BG,1997,73.8,
