STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,CH,2011,6.175,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,DE,2011,518.983,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,EL,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,ES,2011,41.391,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,EU28,2011,791.097,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,FR,2011,206.63,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,IT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,NL,2011,1.844,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,PT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,SE,2011,5.457,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,F,UK,2011,11.696,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,CH,2011,4.194,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,DE,2011,597.416,
