STRUCTURE,STRUCTURE_ID,freq,unit,hhcomp,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,DK,2012,53.4,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,EE,2012,13.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,EEA,2012,3513.6,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,EL,2012,53.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,ES,2012,231.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,EU27_2007,2012,3471.8,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,FI,2012,53.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,FR,2012,509.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,HU,2012,101.1,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,IS,2012,1.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,IT,2012,148.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,LT,2012,26.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,LU,2012,2.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,LV,2012,21.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,MT,2012,1.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,NL,2012,142.1,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,NO,2012,40.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,PL,2012,310.4,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,PT,2012,58.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,RO,2012,108.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,SE,2012,58.1,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,SI,2012,11.1,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,SK,2012,39.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,UK,2012,508.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,AT,2012,72.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,BE,2012,190.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,BG,2012,181.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,CY,2012,14.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,CZ,2012,182.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,DE,2012,1925.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,DK,2012,128.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,EE,2012,33.4,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,EEA,2012,8306.3,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,EL,2012,143.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,ES,2012,525.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,EU27_2007,2012,8187.8,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,FI,2012,105.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,FR,2012,1165.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,HU,2012,230.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,IS,2012,5.4,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,IT,2012,531.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,LT,2012,56.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,LU,2012,5.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,LV,2012,50.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,MT,2012,3.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,NL,2012,329.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,NO,2012,113.1,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,PL,2012,633.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,T,PT,2012,141.6,
