STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,physact,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,M,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,N,PHA_1,EU_V,2005,1.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,N,PHA_2,EU_V,2005,5.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,N,PHA_3,EU_V,2005,5.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,N,PHA_4,EU_V,2005,22.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,N,PHA_5,EU_V,2005,19.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,N,PHA_6,EU_V,2005,40.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,N,PHA_7,EU_V,2005,3.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,N,PHA_9,EU_V,2005,3.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,N,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,O,PHA_1,EU_V,2005,2.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,O,PHA_2,EU_V,2005,10.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,O,PHA_3,EU_V,2005,8.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,O,PHA_4,EU_V,2005,21.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,O,PHA_5,EU_V,2005,13.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,O,PHA_6,EU_V,2005,38.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,O,PHA_7,EU_V,2005,2.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,O,PHA_9,EU_V,2005,2.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,O,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,P,PHA_1,EU_V,2005,1.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,P,PHA_2,EU_V,2005,17.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,P,PHA_3,EU_V,2005,5.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,P,PHA_4,EU_V,2005,18.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,P,PHA_5,EU_V,2005,9.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,P,PHA_6,EU_V,2005,42.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,P,PHA_7,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,P,PHA_9,EU_V,2005,3.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,P,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,Q,PHA_1,EU_V,2005,9.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,Q,PHA_2,EU_V,2005,19.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,Q,PHA_3,EU_V,2005,4.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,Q,PHA_4,EU_V,2005,17.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,Q,PHA_5,EU_V,2005,9.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,Q,PHA_6,EU_V,2005,32.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,Q,PHA_7,EU_V,2005,5.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,Q,PHA_9,EU_V,2005,1.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,Q,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,PHA_1,EU_V,2005,7.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,PHA_2,EU_V,2005,15.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,PHA_3,EU_V,2005,7.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,PHA_4,EU_V,2005,26.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,PHA_5,EU_V,2005,13.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,PHA_6,EU_V,2005,27.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,PHA_7,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,PHA_9,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,UNK,PHA_1,EU_V,2005,6.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,UNK,PHA_2,EU_V,2005,17.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,UNK,PHA_3,EU_V,2005,11.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,UNK,PHA_4,EU_V,2005,26.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,UNK,PHA_5,EU_V,2005,13.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,UNK,PHA_6,EU_V,2005,21.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,UNK,PHA_7,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,UNK,PHA_9,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,UNK,TOTAL,EU_V,2005,100.0,
