STRUCTURE,STRUCTURE_ID,freq,lev_limit,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,HU,2007,27.3,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,HU,2013,16.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,HU,2020,13.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,IE,2007,37.6,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,IE,2013,38.6,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,IE,2020,23.6,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,IS,2007,20.1,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,IS,2020,12.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,IT,2007,31.6,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,IT,2013,24.8,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,IT,2020,30.8,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,LT,2007,12.2,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,LT,2013,33.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,LT,2020,26.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,LU,2007,39.1,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,LU,2013,20.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,LU,2020,7.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,LV,2007,,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,LV,2013,,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,LV,2020,2.5,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,MT,2007,30.4,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,MT,2013,22.9,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,MT,2020,47.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,NL,2007,27.7,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,NL,2020,13.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,NO,2007,27.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,NO,2013,40.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,NO,2020,20.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,PL,2007,26.6,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,PL,2013,30.8,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,PL,2020,44.7,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,PT,2007,13.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,PT,2013,22.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,PT,2020,16.6,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,RO,2007,4.5,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,RO,2013,3.8,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,RO,2020,5.0,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,SE,2007,46.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,SE,2013,44.4,
