STRUCTURE,STRUCTURE_ID,freq,age,deg_urb,lev_diff,assist,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,PL,2019,17.6,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,PT,2019,19.2,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,RO,2019,28.6,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,RS,2019,0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,SE,2019,19.8,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,SI,2019,11.8,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,SK,2019,24.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,TR,2019,0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,AT,2019,51.1,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,BE,2019,82.6,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,BG,2019,43.3,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,CY,2019,53.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,CZ,2019,88.5,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,DE,2019,50.1,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,DK,2019,82.2,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,EL,2019,36.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,ES,2019,35.2,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,EU27_2020,2019,54.1,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,FI,2019,60.2,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,FR,2019,42.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,HR,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,HU,2019,79.4,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,IE,2019,53.6,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,IS,2019,36.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,IT,2019,64.5,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,LT,2019,27.8,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,LV,2019,36.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,MT,2019,67.4,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,NL,2019,75.1,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,PL,2019,72.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,PT,2019,60.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,RO,2019,31.3,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,RS,2019,0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,SE,2019,51.9,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,SI,2019,81.5,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,SK,2019,33.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,NND,PC,TR,2019,0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,SEV,ENO,PC,AT,2019,44.8,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,SEV,ENO,PC,BE,2019,,u
