STRUCTURE,STRUCTURE_ID,freq,unit,sex,n_injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,2,LU,1999,3.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,2,PT,1999,8.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,2,SE,1999,8.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,2,UK,1999,12.9,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,3,DK,1999,2.5,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,3,EL,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,3,ES,1999,0.6,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,3,EU_V,1999,2.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,3,FI,1999,2.3,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,3,HU,1999,4.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,3,IE,1999,2.6,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,3,IT,1999,0.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,3,LU,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,3,PT,1999,0.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,3,SE,1999,3.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,3,UK,1999,3.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,4,DK,1999,0.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,4,EL,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,4,ES,1999,0.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,4,EU_V,1999,0.9,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,4,FI,1999,1.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,4,HU,1999,1.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,4,IE,1999,1.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,4,IT,1999,0.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,4,LU,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,4,PT,1999,0.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,4,SE,1999,1.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,4,UK,1999,1.5,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,GE5,DK,1999,1.9,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,GE5,EL,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,GE5,ES,1999,1.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,GE5,EU_V,1999,2.3,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,GE5,FI,1999,2.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,GE5,HU,1999,2.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,GE5,IE,1999,3.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,GE5,IT,1999,1.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,GE5,LU,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,GE5,PT,1999,0.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,GE5,SE,1999,4.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,GE5,UK,1999,3.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,DE,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,DK,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,EL,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,ES,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,EU_V,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,FI,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,HU,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,IE,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,IT,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,LU,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,PT,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,SE,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,TOTAL,UK,1999,100.0,
