STRUCTURE,STRUCTURE_ID,freq,unit,reason,isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-29,RO,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-29,SE,2014,6.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-29,SI,2014,7.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-29,SK,2014,1.3,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-29,TR,2014,15.2,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-29,UK,2014,5.3,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,AT,2014,2.9,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,BG,2014,4.3,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,CY,2014,0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,CZ,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,DE,2014,5.3,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,DK,2014,2.9,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,EE,2014,6.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,EL,2014,5.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,ES,2014,1.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,EU27_2020,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,EU28,2014,3.9,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,FI,2014,4.6,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,HR,2014,3.6,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,HU,2014,1.6,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,IE,2014,7.5,u
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,IS,2014,8.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,IT,2014,9.2,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,LT,2014,3.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,LU,2014,5.2,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,LV,2014,9.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,MT,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,NL,2014,3.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,NO,2014,2.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,PL,2014,3.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,PT,2014,2.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,RO,2014,0.3,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,SE,2014,7.7,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,SI,2014,7.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,SK,2014,2.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,TR,2014,15.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-44,UK,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,AT,2014,3.2,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,AT,2019,4.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,BE,2019,2.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,BG,2014,5.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,BG,2019,6.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,CY,2014,0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,CY,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,CZ,2014,5.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,CZ,2019,5.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,DE,2014,5.5,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,DE,2019,7.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,DK,2014,2.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-64,DK,2019,6.8,
