STRUCTURE,STRUCTURE_ID,freq,sex,age,sizes,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EU27_2020,2020,45.4,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EU28,2007,24.1,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EU28,2013,27.9,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,FI,2007,44.5,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,FI,2013,45.3,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,FI,2020,64.2,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,FR,2007,51.5,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,FR,2013,63.5,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,FR,2020,57.4,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,HR,2007,15.9,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,HR,2013,17.2,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,HR,2020,55.4,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,HU,2007,12.5,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,HU,2013,18.5,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,HU,2020,35.9,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,IE,2007,10.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,IE,2013,24.1,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,IE,2020,57.3,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,IS,2007,27.9,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,IS,2020,67.0,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,IT,2007,12.9,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,IT,2013,23.2,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,IT,2020,38.2,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,LT,2007,15.4,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,LT,2013,11.3,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,LT,2020,17.2,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,LU,2007,,du
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,LU,2013,55.3,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,LU,2020,67.5,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,LV,2007,,du
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,LV,2013,22.5,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,LV,2020,53.0,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,MT,2007,22.1,du
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,MT,2013,,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,MT,2020,42.4,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,NL,2007,30.4,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,NL,2020,53.8,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,NO,2013,16.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,NO,2020,80.6,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,PL,2007,19.7,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,PL,2013,14.4,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,PL,2020,46.4,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,PT,2007,,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,PT,2013,37.9,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,PT,2020,57.0,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,RO,2007,20.9,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,RO,2013,18.9,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,RO,2020,62.2,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,SE,2007,35.8,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,SE,2013,42.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,SE,2020,82.2,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,SI,2007,32.8,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,SI,2013,28.1,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,SI,2020,32.4,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,SK,2007,12.2,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,SK,2013,23.2,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,SK,2020,51.4,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,TR,2013,7.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,UK,2007,30.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,UK,2013,,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,AT,2007,18.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,AT,2013,29.1,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,AT,2020,61.0,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,BE,2007,10.9,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,BE,2013,28.3,b
