STRUCTURE,STRUCTURE_ID,freq,unit,source,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2003,79.50,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2004,77.10,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2005,76.80,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2006,78.10,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2007,75.30,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2008,77.40,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2009,75.70,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2010,73.90,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2011,74.50,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2012,71.40,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2013,70.20,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2014,76.50,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2015,74.70,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2016,75.10,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2017,73.80,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2018,74.30,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2019,71.60,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2020,76.10,dp
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2000,61.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2001,62.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2002,62.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2003,62.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2004,61.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2005,61.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2006,62.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2007,62.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2008,62.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2009,61.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2010,59.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2011,58.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2012,59.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2013,59.00,d
