STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,n_job,worktime,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,C,EU_V,1999,50,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,D,EU_V,1999,65,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,E,EU_V,1999,58,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,F,EU_V,1999,32,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,G,EU_V,1999,58,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,H,EU_V,1999,95,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,I,EU_V,1999,72,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,J,EU_V,1999,43,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,K,EU_V,1999,52,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,L,EU_V,1999,50,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,M,EU_V,1999,83,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,N,EU_V,1999,123,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,O,EU_V,1999,75,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,P,EU_V,1999,69,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,TOTAL,EU_V,1999,74,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,H10-19,TOTAL,EU_V,1999,340,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,H30-39,G,EU_V,1999,470,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,H30-39,TOTAL,EU_V,1999,132,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,H40-49,G,EU_V,1999,88,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,H40-49,H,EU_V,1999,271,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,H40-49,J,EU_V,1999,327,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,H40-49,M,EU_V,1999,405,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,H40-49,TOTAL,EU_V,1999,66,
