STRUCTURE,STRUCTURE_ID,freq,sex,age,levels,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,ES,2008,59.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,HU,2008,42.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,LV,2008,54.0,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,MT,2008,53.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,PL,2008,46.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,RO,2008,57.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,SI,2008,49.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,SK,2008,42.5,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,TR,2008,59.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,BG,2008,52.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,CY,2008,57.0,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,CZ,2008,54.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,EE,2008,45.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,EL,2008,45.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,ES,2008,53.0,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,HU,2008,39.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,LV,2008,46.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,MT,2008,45.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,PL,2008,38.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,RO,2008,39.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,SI,2008,35.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,SK,2008,39.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,TOTAL,TR,2008,47.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,BG,2008,10.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,CY,2008,10.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,CZ,2008,12.4,
