STRUCTURE,STRUCTURE_ID,freq,unit,deg_urb,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,HR,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,HU,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,IE,2011,2.113,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,IT,2011,14.021,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,LT,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,LU,2011,0.67,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,LV,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,MT,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,NL,2011,44.595,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,PL,2011,22.302,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,PT,2011,16.56,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,RO,2011,6.76,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,SE,2011,18.049,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,SI,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,SK,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,UK,2011,201.492,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,AT,2011,17.404,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,BE,2011,20.887,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,BG,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,CH,2011,28.596,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,CY,2011,1.439,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,CZ,2011,3.579,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,DE,2011,120.611,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,DK,2011,6.526,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,EE,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,EL,2011,3.296,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,ES,2011,17.182,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,FI,2011,8.227,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,FR,2011,116.094,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,HR,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,HU,2011,4.456,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,IE,2011,2.862,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,IT,2011,28.797,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,LT,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,LU,2011,0.595,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,LV,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,MT,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,NL,2011,38.846,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,PL,2011,27.232,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,PT,2011,13.167,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,RO,2011,9.263,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,SE,2011,14.03,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,SI,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,SK,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,M,UK,2011,145.024,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,AT,2011,38.357,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,BE,2011,35.014,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,BG,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,CH,2011,65.588,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,CY,2011,2.088,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,CZ,2011,6.403,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,DE,2011,251.316,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,DK,2011,17.047,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,EE,2011,4.585,u
