STRUCTURE,STRUCTURE_ID,freq,unit,isced97,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,TR,2011,232.323,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,UK,2011,103.118,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,AT,2011,42.197,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,BE,2011,38.619,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,BG,2011,8.557,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,CH,2011,66.033,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,CY,2011,1.611,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,CZ,2011,10.361,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,DE,2011,194.692,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,DK,2011,32.327,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,EE,2011,6.279,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,EL,2011,8.225,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,ES,2011,61.202,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,FI,2011,26.919,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,FR,2011,220.817,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,HR,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,HU,2011,17.656,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,IE,2011,7.579,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,IS,2011,5.842,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,IT,2011,60.259,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,LT,2011,10.245,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,LU,2011,2.475,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,LV,2011,8.088,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,MT,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,NL,2011,79.245,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,PL,2011,94.406,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,PT,2011,40.652,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,RO,2011,37.455,
