STRUCTURE,STRUCTURE_ID,freq,icd10,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED0-2,FR,2008,1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED0-2,HU,2008,1.8,u
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED0-2,PL,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED0-2,RO,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED0-2,TR,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,AT,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,BE,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,CZ,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,EL,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,ES,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,FR,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,HU,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,MT,2008,2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,PL,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,RO,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,SI,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,SK,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED3_4,TR,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED5_6,BE,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED5_6,CY,2008,1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED5_6,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED5_6,ES,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED5_6,FR,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED5_6,LV,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED5_6,PL,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED5_6,SK,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED5_6,TR,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,AT,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,BE,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,CY,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,CZ,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,EE,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,EL,2008,1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,ES,2008,1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,FR,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,HU,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,LV,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,MT,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,PL,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,RO,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,SI,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,SK,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,TOTAL,TR,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,AT,2008,3.1,
