STRUCTURE,STRUCTURE_ID,freq,unit,lev_limit,acl00,frequenc,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,FI,2006,36.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,FR,2006,25.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,HU,2006,24.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,IE,2006,24.1,u
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,IS,2006,24.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,IT,2006,29.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,LT,2006,39.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,LU,2006,18.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,LV,2006,30.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,MT,2006,25.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,NL,2006,31.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,NO,2006,27.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,PL,2006,40.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,PT,2006,28.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,SE,2006,42.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,SI,2006,30.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,SK,2006,37.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,TR,2006,20.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,UK,2006,28.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,AT,2006,24.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,BE,2006,30.7,
